#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000000575_00680	794903.OPIT5_11395	6.46e-118	349.0	COG1609@1|root,COG1609@2|Bacteria,46YQS@74201|Verrucomicrobia,3K99J@414999|Opitutae	414999|Opitutae	K	Bacterial regulatory proteins, lacI family	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_3
MGYG000000575_00849	887325.HMPREF0381_0891	2.84e-202	577.0	COG2721@1|root,COG2721@2|Bacteria,1TPTX@1239|Firmicutes,24AEC@186801|Clostridia,1HUPB@1164882|Lachnoanaerobaculum	186801|Clostridia	G	SAF	uxaA	-	4.2.1.7	ko:K01685	ko00040,ko01100,map00040,map01100	M00631	R01540	RC00543	ko00000,ko00001,ko00002,ko01000	-	-	-	GD_AH_C,SAF
MGYG000000575_00044	880070.Cycma_1902	1.55e-50	199.0	28MHM@1|root,2ZAUH@2|Bacteria,4NKMG@976|Bacteroidetes	976|Bacteroidetes	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000575_03433	194439.CT0834	6.53e-267	751.0	COG0511@1|root,COG5016@1|root,COG0511@2|Bacteria,COG5016@2|Bacteria,1FE7N@1090|Chlorobi	1090|Chlorobi	C	PFAM biotin lipoyl attachment domain-containing protein	-	-	6.4.1.1	ko:K01960	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173,M00620	R00344	RC00040,RC00367	ko00000,ko00001,ko00002,ko01000	-	-	-	Biotin_lipoyl,HMGL-like,PYC_OADA
MGYG000000575_01502	748449.Halha_2501	1.77e-47	169.0	COG1609@1|root,COG1609@2|Bacteria,1TQ7K@1239|Firmicutes,247M2@186801|Clostridia	186801|Clostridia	K	Periplasmic binding protein LacI transcriptional regulator	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
MGYG000000575_01627	1356852.N008_16345	1.97e-126	391.0	COG0038@1|root,COG0517@1|root,COG0038@2|Bacteria,COG0517@2|Bacteria,4NFCF@976|Bacteroidetes,47M0I@768503|Cytophagia	976|Bacteroidetes	P	Voltage gated chloride channel	clcA	-	-	ko:K03281	-	-	-	-	ko00000	2.A.49	-	-	CBS,Voltage_CLC
MGYG000000575_01850	269797.Mbar_A1318	9.7e-14	68.2	COG3377@1|root,arCOG04424@2157|Archaea,2Y0SF@28890|Euryarchaeota	28890|Euryarchaeota	S	Domain of unknown function (DUF1805)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1805
MGYG000000575_01419	616991.JPOO01000003_gene1246	8.25e-63	210.0	COG1820@1|root,COG1820@2|Bacteria,4NJ35@976|Bacteroidetes,1I1UK@117743|Flavobacteriia,23HHR@178469|Arenibacter	976|Bacteroidetes	G	Amidohydrolase family	-	-	3.5.1.25	ko:K01443	ko00520,ko01130,map00520,map01130	-	R02059	RC00166,RC00300	ko00000,ko00001,ko01000	-	-	-	Amidohydro_1
MGYG000000575_01573	1121459.AQXE01000003_gene1181	2.04e-36	155.0	COG1572@1|root,COG1572@2|Bacteria,1PGI2@1224|Proteobacteria,4378M@68525|delta/epsilon subdivisions,2X2BD@28221|Deltaproteobacteria,2MFJP@213115|Desulfovibrionales	28221|Deltaproteobacteria	S	Domain of unknown function (DUF4091)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4091
MGYG000000575_01124	1094508.Tsac_2004	5.16e-238	681.0	COG0021@1|root,COG0021@2|Bacteria,1TPIB@1239|Firmicutes,25E6C@186801|Clostridia,42JGE@68295|Thermoanaerobacterales	186801|Clostridia	G	Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate	-	-	2.2.1.1	ko:K00615	ko00030,ko00710,ko01051,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map00710,map01051,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007,M00165,M00167	R01067,R01641,R01830,R06590	RC00032,RC00226,RC00571,RC01560	ko00000,ko00001,ko00002,ko01000	-	-	-	Transket_pyr,Transketolase_C,Transketolase_N
MGYG000000575_02367	880072.Desac_2636	1.3e-92	278.0	COG0745@1|root,COG0745@2|Bacteria,1MY2Z@1224|Proteobacteria,42MP1@68525|delta/epsilon subdivisions,2WJPD@28221|Deltaproteobacteria,2MRKV@213462|Syntrophobacterales	28221|Deltaproteobacteria	K	PFAM response regulator receiver	-	-	-	ko:K07657	ko02020,map02020	M00434	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	Response_reg,Trans_reg_C
MGYG000000575_02842	86416.Clopa_3245	9.05e-64	223.0	COG0248@1|root,COG0248@2|Bacteria,1TS3I@1239|Firmicutes,248EW@186801|Clostridia,36FHQ@31979|Clostridiaceae	186801|Clostridia	FP	Ppx GppA phosphatase	ppx	-	3.6.1.11,3.6.1.40	ko:K01524	ko00230,map00230	-	R03409	RC00002	ko00000,ko00001,ko01000	-	-	-	HD,Ppx-GppA
MGYG000000575_03431	1287488.HMPREF0671_04335	7.57e-56	181.0	COG2206@1|root,COG2206@2|Bacteria,4PKEV@976|Bacteroidetes,2G3ER@200643|Bacteroidia	976|Bacteroidetes	T	HDIG domain protein	-	-	-	ko:K06950	-	-	-	-	ko00000	-	-	-	HD
MGYG000000575_02008	1405.DJ92_16	8.64e-06	55.1	COG4552@1|root,COG4552@2|Bacteria,1TRPM@1239|Firmicutes,4HD22@91061|Bacilli,1ZB8R@1386|Bacillus	91061|Bacilli	S	Acetyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acetyltransf_9,SCP2_2
MGYG000000575_01976	313628.LNTAR_13872	1.26e-41	154.0	COG1277@1|root,COG1277@2|Bacteria	2|Bacteria	-	-	-	-	-	ko:K01992,ko:K16919	ko02010,map02010	M00254,M00584	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1	-	-	ABC2_membrane_2,ABC2_membrane_4,ABC2_membrane_5,ABC_transp_aux,DUF3526
MGYG000000575_03175	481448.Minf_1215	2.55e-102	312.0	COG0416@1|root,COG0416@2|Bacteria,46S8C@74201|Verrucomicrobia,37G4Q@326457|unclassified Verrucomicrobia	74201|Verrucomicrobia	I	Catalyzes the reversible formation of acyl-phosphate (acyl-PO(4)) from acyl- acyl-carrier-protein (acyl-ACP). This enzyme utilizes acyl-ACP as fatty acyl donor, but not acyl-CoA	plsX	-	2.3.1.15	ko:K03621	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R00851,R09380	RC00004,RC00039,RC00041	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	FA_synthesis
MGYG000000575_01110	1532557.JL37_09490	5.46e-11	72.8	COG1462@1|root,COG1462@2|Bacteria,1RH5B@1224|Proteobacteria,2VWV9@28216|Betaproteobacteria,3T7WK@506|Alcaligenaceae	28216|Betaproteobacteria	M	Curli production assembly/transport component CsgG	-	-	-	-	-	-	-	-	-	-	-	-	CsgG
MGYG000000575_03280	278957.ABEA03000115_gene590	4.89e-28	105.0	COG3254@1|root,COG3254@2|Bacteria,46XUW@74201|Verrucomicrobia,3K8BE@414999|Opitutae	414999|Opitutae	J	Involved in the anomeric conversion of L-rhamnose	-	-	5.1.3.32	ko:K03534	-	-	R10819	RC00563	ko00000,ko01000	-	-	-	rhaM
MGYG000000575_01189	465541.ATCJ01000005_gene2043	1.42e-12	80.1	COG3669@1|root,COG3669@2|Bacteria,2GNPW@201174|Actinobacteria	201174|Actinobacteria	G	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain	-	-	3.2.1.50	ko:K01205	ko00531,ko01100,ko04142,map00531,map01100,map04142	M00078	R07816	-	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	-	F5_F8_type_C,NAGLU,NAGLU_C,NAGLU_N,NPCBM_assoc,Ricin_B_lectin
MGYG000000575_00773	457570.Nther_0231	6.18e-31	118.0	COG2059@1|root,COG2059@2|Bacteria,1V42U@1239|Firmicutes,24HA0@186801|Clostridia	186801|Clostridia	P	Chromate	chrA2	-	-	ko:K07240	-	-	-	-	ko00000,ko02000	2.A.51.1	-	-	Chromate_transp
MGYG000000575_02565	1121422.AUMW01000009_gene3241	4.19e-65	213.0	COG4397@1|root,COG4397@2|Bacteria,1TSQ3@1239|Firmicutes,24BX4@186801|Clostridia,26410@186807|Peptococcaceae	186801|Clostridia	S	COGs COG4397 Mu-like prophage major head subunit gpT	-	-	-	-	-	-	-	-	-	-	-	-	Mu-like_gpT
MGYG000000575_01354	349741.Amuc_0615	0.0	1608.0	COG0458@1|root,COG0458@2|Bacteria,46SBT@74201|Verrucomicrobia,2IU2N@203494|Verrucomicrobiae	2|Bacteria	EF	Carbamoyl-phosphate synthetase large chain, oligomerisation domain	carB	GO:0000050,GO:0003674,GO:0003824,GO:0004087,GO:0004088,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016874,GO:0016879,GO:0016884,GO:0019627,GO:0019752,GO:0034641,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	6.3.5.5	ko:K01955	ko00240,ko00250,ko01100,map00240,map00250,map01100	M00051	R00256,R00575,R01395,R10948,R10949	RC00002,RC00010,RC00043,RC02750,RC02798,RC03314	ko00000,ko00001,ko00002,ko01000	-	-	iAF987.Gmet_0661	CPSase_L_D2,CPSase_L_D3,MGS
MGYG000000575_01056	247490.KSU1_C0197	2.72e-06	59.7	COG2304@1|root,COG2304@2|Bacteria,2J513@203682|Planctomycetes	203682|Planctomycetes	G	Aerotolerance regulator N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	BatA,CARDB,VWA_2
MGYG000000575_02143	1151292.QEW_0581	1.87e-53	183.0	COG2602@1|root,COG2602@2|Bacteria,1VZ0X@1239|Firmicutes,24CE9@186801|Clostridia	186801|Clostridia	V	Penicillin binding protein transpeptidase domain	-	-	-	ko:K02172	ko01501,map01501	M00627	-	-	ko00000,ko00001,ko00002,ko01002,ko01504	-	-	-	Transpeptidase
MGYG000000575_02420	382464.ABSI01000010_gene3520	6.56e-41	170.0	COG1874@1|root,COG1874@2|Bacteria	2|Bacteria	G	beta-galactosidase activity	-	-	3.2.1.23	ko:K12308	ko00052,map00052	-	R01105	RC00452	ko00000,ko00001,ko01000	-	-	-	Glyco_hydro_42
MGYG000000575_01756	335543.Sfum_2643	4.05e-132	402.0	COG0513@1|root,COG0513@2|Bacteria,1MU49@1224|Proteobacteria,42MGZ@68525|delta/epsilon subdivisions,2WIY6@28221|Deltaproteobacteria,2MRD6@213462|Syntrophobacterales	28221|Deltaproteobacteria	L	helicase superfamily c-terminal domain	rhlB	-	3.6.4.13	ko:K03732	ko03018,map03018	M00394	-	-	ko00000,ko00001,ko00002,ko01000,ko03019	-	-	-	DEAD,Helicase_C,Jag_N,R3H
MGYG000000575_02137	1226325.HMPREF1548_00292	5.84e-19	94.7	COG2207@1|root,COG4753@1|root,COG2207@2|Bacteria,COG4753@2|Bacteria,1UYPX@1239|Firmicutes,24BA6@186801|Clostridia,36FRU@31979|Clostridiaceae	186801|Clostridia	T	response regulator	-	-	-	ko:K07720	ko02020,map02020	M00519	-	-	ko00000,ko00001,ko00002,ko02022	-	-	-	HTH_18,HTH_AraC,Response_reg
MGYG000000575_03368	226186.BT_4179	9.29e-27	117.0	COG0726@1|root,COG0726@2|Bacteria,4NSF3@976|Bacteroidetes,2G07M@200643|Bacteroidia,4AV2Y@815|Bacteroidaceae	976|Bacteroidetes	G	CBM9 module, glycoside hydrolase family 8 protein and carbohydrate esterase family 4 protein K01238	-	-	-	-	-	-	-	-	-	-	-	-	Polysacc_deac_1,SASA
MGYG000000575_01755	373903.Hore_12550	5.18e-37	136.0	COG2928@1|root,COG2928@2|Bacteria,1V6FM@1239|Firmicutes,24JQ1@186801|Clostridia,3WBT4@53433|Halanaerobiales	186801|Clostridia	S	Protein of unknown function (DUF502)	-	-	-	-	-	-	-	-	-	-	-	-	DUF502
MGYG000000575_03685	1142394.PSMK_12960	1.23e-13	79.3	COG1609@1|root,COG1609@2|Bacteria,2J1PU@203682|Planctomycetes	203682|Planctomycetes	K	COG1609 Transcriptional regulators	-	-	-	-	-	-	-	-	-	-	-	-	GntR,Peripla_BP_3
MGYG000000575_00340	632335.Calkr_1824	9.02e-19	90.9	COG2159@1|root,COG2159@2|Bacteria,1TRU0@1239|Firmicutes,248VZ@186801|Clostridia,42GGM@68295|Thermoanaerobacterales	186801|Clostridia	S	PFAM amidohydrolase 2	-	-	-	ko:K07045	-	-	-	-	ko00000	-	-	-	Amidohydro_2
MGYG000000575_03640	314230.DSM3645_29371	2.98e-26	115.0	COG1609@1|root,COG1609@2|Bacteria,2J18R@203682|Planctomycetes	203682|Planctomycetes	K	Periplasmic binding proteins and sugar binding domain of LacI family	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	GntR,LacI,Peripla_BP_3
MGYG000000575_03077	871963.Desdi_2251	8.13e-58	188.0	COG0122@1|root,COG0122@2|Bacteria,1V2ZM@1239|Firmicutes,248KP@186801|Clostridia,2646J@186807|Peptococcaceae	186801|Clostridia	L	PFAM HhH-GPD superfamily base excision DNA repair protein	-	-	2.1.1.63,3.2.2.21	ko:K00567,ko:K01247	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	DNA_binding_1,HhH-GPD
MGYG000000575_03940	1304284.L21TH_1119	4.5e-23	105.0	COG1609@1|root,COG1609@2|Bacteria,1TQ7K@1239|Firmicutes,247M2@186801|Clostridia,36F5I@31979|Clostridiaceae	186801|Clostridia	K	Transcriptional regulator, LacI family	-	-	-	ko:K02529	-	-	-	-	ko00000,ko03000	-	-	-	LacI,Peripla_BP_1,Peripla_BP_3
MGYG000000575_02354	648996.Theam_0025	5.63e-31	129.0	2A75B@1|root,30W16@2|Bacteria,2G5D4@200783|Aquificae	200783|Aquificae	S	Family of unknown function (DUF5309)	-	-	-	-	-	-	-	-	-	-	-	-	DUF5309
MGYG000000575_00219	221288.JH992901_gene3494	0.000232	50.8	COG3055@1|root,COG3055@2|Bacteria	2|Bacteria	G	Converts alpha-N-acetylneuranimic acid (Neu5Ac) to the beta-anomer, accelerating the equilibrium between the alpha- and beta-anomers. Probably facilitates sialidase-negative bacteria to compete sucessfully for limited amounts of extracellular Neu5Ac, which is likely taken up in the beta-anomer. In addition, the rapid removal of sialic acid from solution might be advantageous to the bacterium to damp down host responses	-	-	3.1.3.1	ko:K01077	ko00730,ko00790,ko01100,ko02020,map00730,map00790,map01100,map02020	M00126	R02135,R04620	RC00017	ko00000,ko00001,ko00002,ko00537,ko01000,ko04147	-	-	-	Alk_phosphatase,Alpha-amylase,BNR,BNR_2,Big_2,CAP,CBM26,CBM_25,DUF285,Exo_endo_phos,F5_F8_type_C,GGACT,HtaA,Laminin_G_3,NPCBM_assoc,PA,Peptidase_S8,fn3_5
MGYG000000575_02429	227086.JGI_V11_75549	4.08e-28	131.0	2C2C5@1|root,2SHKS@2759|Eukaryota	2759|Eukaryota	G	hydrolase activity, acting on glycosyl bonds	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000000575_01635	1313421.JHBV01000038_gene2826	1.08e-83	271.0	COG0508@1|root,COG0508@2|Bacteria,4NFB9@976|Bacteroidetes,1IPXC@117747|Sphingobacteriia	976|Bacteroidetes	C	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)	pdhC	-	2.3.1.12	ko:K00627	ko00010,ko00020,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00020,map00620,map01100,map01110,map01120,map01130,map01200	M00307	R00209,R02569	RC00004,RC02742,RC02857	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	2-oxoacid_dh,Biotin_lipoyl,E3_binding
MGYG000000575_04022	97139.C824_01247	1.11e-14	80.1	COG2207@1|root,COG2207@2|Bacteria,1V0Z0@1239|Firmicutes,24BNN@186801|Clostridia,36W9U@31979|Clostridiaceae	186801|Clostridia	K	Cupin domain	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18,HTH_AraC
MGYG000000575_01073	656024.FsymDg_2095	1.08e-187	535.0	COG0399@1|root,COG0399@2|Bacteria,2GKD7@201174|Actinobacteria,4ESWQ@85013|Frankiales	201174|Actinobacteria	E	Belongs to the DegT DnrJ EryC1 family	-	-	-	-	-	-	-	-	-	-	-	-	DegT_DnrJ_EryC1
MGYG000000575_01794	593117.TGAM_0970	1.7e-37	154.0	COG0419@1|root,COG2247@1|root,COG2319@1|root,COG5306@1|root,arCOG02559@1|root,arCOG03264@1|root,arCOG00368@2157|Archaea,arCOG00388@2157|Archaea,arCOG02491@2157|Archaea,arCOG02559@2157|Archaea,arCOG03264@2157|Archaea,arCOG03512@2157|Archaea,2XYKK@28890|Euryarchaeota,24394@183968|Thermococci	183968|Thermococci	KLT	Serine threonine protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	DUF2341,DUF5122,Laminin_G_3,PEGA,PQQ_2
MGYG000000575_00195	313628.LNTAR_00690	1.78e-44	152.0	COG1595@1|root,COG1595@2|Bacteria	2|Bacteria	K	DNA-templated transcription, initiation	rpoE	-	-	ko:K03088	-	-	-	-	ko00000,ko03021	-	-	-	Sigma70_ECF,Sigma70_r2,Sigma70_r4,Sigma70_r4_2
