#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000002473_03333	517417.Cpar_1920	2.69e-32	123.0	COG0491@1|root,COG0491@2|Bacteria,1FDV9@1090|Chlorobi	1090|Chlorobi	S	Belongs to the metallo-beta-lactamase superfamily. Glyoxalase II family	-	-	-	-	-	-	-	-	-	-	-	-	Lactamase_B
MGYG000002473_00889	313628.LNTAR_21810	2.73e-155	447.0	COG0468@1|root,COG0468@2|Bacteria	2|Bacteria	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage	recA	GO:0000150,GO:0000166,GO:0000287,GO:0000725,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0007154,GO:0008094,GO:0008144,GO:0008150,GO:0008152,GO:0009314,GO:0009411,GO:0009416,GO:0009432,GO:0009605,GO:0009628,GO:0009650,GO:0009987,GO:0009991,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0030145,GO:0030554,GO:0031668,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0034641,GO:0035639,GO:0036094,GO:0042148,GO:0042221,GO:0042623,GO:0043142,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046677,GO:0046872,GO:0046914,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0097367,GO:0140097,GO:1901265,GO:1901360,GO:1901363	-	ko:K03553	ko03440,map03440	M00729	-	-	ko00000,ko00001,ko00002,ko03400	-	-	-	ABC2_membrane,Intein_splicing,LAGLIDADG_2,LAGLIDADG_3,Rad51,RecA
MGYG000002473_01755	123899.JPQP01000017_gene2337	3.27e-166	476.0	COG0842@1|root,COG0842@2|Bacteria,1MUIA@1224|Proteobacteria,2VHRI@28216|Betaproteobacteria,3T360@506|Alcaligenaceae	28216|Betaproteobacteria	V	ABC-2 family transporter protein	yhhJ	-	-	ko:K01992	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane,ABC2_membrane_3
MGYG000002473_03455	1125701.HMPREF1221_01910	1.98e-125	365.0	COG2240@1|root,COG2240@2|Bacteria,2J883@203691|Spirochaetes	203691|Spirochaetes	H	Belongs to the pyridoxine kinase family	pdxK	-	2.7.1.35	ko:K00868	ko00750,ko01100,map00750,map01100	-	R00174,R01909,R02493	RC00002,RC00017	ko00000,ko00001,ko01000	-	-	-	Phos_pyr_kin
MGYG000002473_01821	794903.OPIT5_17590	7.82e-109	353.0	COG3534@1|root,COG3534@2|Bacteria	2|Bacteria	G	alpha-L-arabinofuranosidase	-	-	3.2.1.55	ko:K01209	ko00520,map00520	-	R01762	-	ko00000,ko00001,ko01000	-	GH51	-	Alpha-L-AF_C,CBM_6,DUF5011,Glyco_hydro_43,HemolysinCabind,Laminin_G_3,RHS_repeat,RicinB_lectin_2,Ricin_B_lectin
MGYG000002473_01591	742817.HMPREF9449_01561	8.29e-207	585.0	COG0738@1|root,COG0738@2|Bacteria,4NEYR@976|Bacteroidetes,2G2UG@200643|Bacteroidia,231YK@171551|Porphyromonadaceae	976|Bacteroidetes	G	Transporter	gluP	-	-	ko:K02429	-	-	-	-	ko00000,ko02000	2.A.1.7	-	-	MFS_1
MGYG000002473_01506	123899.JPQP01000004_gene496	2.96e-24	111.0	COG0330@1|root,COG0330@2|Bacteria,1MUM2@1224|Proteobacteria,2VIG2@28216|Betaproteobacteria,3T1XU@506|Alcaligenaceae	28216|Betaproteobacteria	O	HflC and HflK could encode or regulate a protease	hflK	-	-	ko:K04088	-	M00742	-	-	ko00000,ko00002,ko01000	-	-	-	Band_7,HflK_N
MGYG000002473_00599	1385510.N781_16685	1.97e-09	63.2	COG1725@1|root,COG1725@2|Bacteria,1VA2B@1239|Firmicutes,4HPK4@91061|Bacilli,2YASN@289201|Pontibacillus	91061|Bacilli	K	GntR family transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	GntR
MGYG000002473_01714	573413.Spirs_1689	3.93e-70	220.0	COG2344@1|root,COG2344@2|Bacteria,2J67B@203691|Spirochaetes	203691|Spirochaetes	K	Modulates transcription in response to changes in cellular NADH NAD( ) redox state	rex	-	-	ko:K01926	-	-	-	-	ko00000,ko03000	-	-	-	CoA_binding,Put_DNA-bind_N
MGYG000002473_02857	1408422.JHYF01000001_gene2968	1e-67	218.0	COG0204@1|root,COG0204@2|Bacteria,1UMJA@1239|Firmicutes,249AV@186801|Clostridia,36EYB@31979|Clostridiaceae	186801|Clostridia	I	Belongs to the 1-acyl-sn-glycerol-3-phosphate acyltransferase family	plsC_1	-	2.3.1.51	ko:K00655	ko00561,ko00564,ko01100,ko01110,map00561,map00564,map01100,map01110	M00089	R02241,R09381	RC00004,RC00037,RC00039	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyltransferase
MGYG000002473_02357	349741.Amuc_0443	5.12e-77	249.0	COG0758@1|root,COG0758@2|Bacteria,46SGR@74201|Verrucomicrobia,2ITVU@203494|Verrucomicrobiae	203494|Verrucomicrobiae	LU	DNA recombination-mediator protein A	-	-	-	ko:K04096	-	-	-	-	ko00000	-	-	-	DNA_processg_A,HHH_5
MGYG000002473_02107	278957.ABEA03000106_gene1839	1.09e-14	79.3	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl,Polysacc_deac_1,SBP_bac_10,T2SSG
MGYG000002473_03481	66377.JOBH01000012_gene4488	1.59e-21	101.0	COG1609@1|root,COG1609@2|Bacteria,2GJDS@201174|Actinobacteria	201174|Actinobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_3
MGYG000002473_02003	857293.CAAU_0052	1.34e-103	302.0	COG1592@1|root,COG1592@2|Bacteria,1TSUY@1239|Firmicutes,248GY@186801|Clostridia,36EFS@31979|Clostridiaceae	186801|Clostridia	C	Rubrerythrin	rbr3A	GO:0000302,GO:0003674,GO:0003824,GO:0004601,GO:0005488,GO:0005506,GO:0006091,GO:0006950,GO:0006970,GO:0006979,GO:0008150,GO:0008152,GO:0009055,GO:0009056,GO:0009266,GO:0009268,GO:0009408,GO:0009409,GO:0009628,GO:0009636,GO:0009651,GO:0009987,GO:0010035,GO:0010446,GO:0016209,GO:0016491,GO:0016684,GO:0016692,GO:0016999,GO:0017001,GO:0017144,GO:0022900,GO:0033554,GO:0034599,GO:0034605,GO:0034614,GO:0035690,GO:0042221,GO:0042493,GO:0042542,GO:0042737,GO:0042743,GO:0042744,GO:0043167,GO:0043169,GO:0044237,GO:0044248,GO:0046677,GO:0046872,GO:0046914,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055114,GO:0070301,GO:0070417,GO:0070482,GO:0070887,GO:0071214,GO:0071236,GO:0071453,GO:0071467,GO:0071469,GO:0071470,GO:0071472,GO:0072593,GO:0097237,GO:0098754,GO:0098869,GO:0104004,GO:1901700,GO:1901701,GO:1990748	-	-	-	-	-	-	-	-	-	-	FAD_binding_6,NAD_binding_1,Rubredoxin,Rubrerythrin
MGYG000002473_00497	1197719.A464_3982	9.56e-188	529.0	COG1088@1|root,COG1088@2|Bacteria,1MU5E@1224|Proteobacteria,1RP7G@1236|Gammaproteobacteria,3ZM19@590|Salmonella	1236|Gammaproteobacteria	M	Polysaccharide biosynthesis protein	rffG	GO:0000271,GO:0003674,GO:0003824,GO:0005975,GO:0005976,GO:0006629,GO:0008150,GO:0008152,GO:0008460,GO:0008610,GO:0008653,GO:0009058,GO:0009059,GO:0009103,GO:0009987,GO:0016051,GO:0016829,GO:0016835,GO:0016836,GO:0033692,GO:0034637,GO:0034645,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044262,GO:0044264,GO:0045226,GO:0046379,GO:0071704,GO:1901135,GO:1901137,GO:1901576,GO:1903509	4.2.1.46	ko:K01710	ko00521,ko00523,ko00525,ko01055,ko01130,map00521,map00523,map00525,map01055,map01130	M00793	R06513	RC00402	ko00000,ko00001,ko00002,ko01000	-	-	iECNA114_1301.ECNA114_3926,iECSF_1327.ECSF_3628	GDP_Man_Dehyd
MGYG000002473_02080	1122218.KB893653_gene698	0.000159	46.2	COG2944@1|root,COG2944@2|Bacteria,1N802@1224|Proteobacteria,2UGPM@28211|Alphaproteobacteria,1JWKX@119045|Methylobacteriaceae	28211|Alphaproteobacteria	K	transcriptional regulator, XRE family	-	-	-	ko:K07726	-	-	-	-	ko00000,ko03000	-	-	-	HTH_3,HTH_31
MGYG000002473_00652	313603.FB2170_09421	1.24e-37	142.0	COG0708@1|root,COG0708@2|Bacteria,4NR5R@976|Bacteroidetes	976|Bacteroidetes	L	beta-fructofuranosidase activity	-	-	-	-	-	-	-	-	-	-	-	-	Exo_endo_phos
MGYG000002473_00654	349741.Amuc_1887	4.97e-44	179.0	COG3264@1|root,COG3264@2|Bacteria	2|Bacteria	M	cellular water homeostasis	kefA	GO:0005575,GO:0005623,GO:0005886,GO:0006884,GO:0008150,GO:0008361,GO:0009987,GO:0009992,GO:0016020,GO:0016043,GO:0019725,GO:0030104,GO:0032535,GO:0042592,GO:0044464,GO:0048878,GO:0055082,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066	-	ko:K05802,ko:K22051	-	-	-	-	ko00000,ko02000	1.A.23.1.1,1.A.23.1.2,1.A.23.1.3	-	-	DEP,DUF3772,MS_channel,MscS_TM,MscS_porin,cNMP_binding
MGYG000002473_01218	1304885.AUEY01000005_gene877	5.01e-159	465.0	COG0642@1|root,COG1762@1|root,COG1762@2|Bacteria,COG2205@2|Bacteria,1MUZQ@1224|Proteobacteria,42NZF@68525|delta/epsilon subdivisions,2WJNR@28221|Deltaproteobacteria	28221|Deltaproteobacteria	T	Histidine kinase	kdpD	-	2.7.13.3	ko:K07646	ko02020,map02020	M00454	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	KdpD,PTS_EIIA_2,Usp
MGYG000002473_02526	889378.Spiaf_0323	1.16e-133	397.0	COG0446@1|root,COG0446@2|Bacteria,2J5ZG@203691|Spirochaetes	203691|Spirochaetes	C	pyridine nucleotide-disulfide oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	Pyr_redox_2
MGYG000002473_02130	1313304.CALK_0734	1.94e-146	422.0	COG1712@1|root,COG1712@2|Bacteria	2|Bacteria	S	aspartate dehydrogenase activity	ddh	-	1.4.1.16	ko:K03340	ko00300,ko01100,ko01110,ko01230,map00300,map01100,map01110,map01230	M00526	R02755	RC00006	ko00000,ko00001,ko00002,ko01000	-	-	-	CoA_binding,DAPDH_C,DapB_N,GFO_IDH_MocA,NAD_binding_3,PAS,Semialdhyde_dh,Sigma54_activat
MGYG000002473_03344	526222.Desal_1742	3.55e-129	390.0	COG1785@1|root,COG1785@2|Bacteria,1MXI2@1224|Proteobacteria,42N40@68525|delta/epsilon subdivisions,2WKUV@28221|Deltaproteobacteria,2M83Q@213115|Desulfovibrionales	28221|Deltaproteobacteria	P	Belongs to the alkaline phosphatase family	phoA	-	3.1.3.1	ko:K01077	ko00730,ko00790,ko01100,ko02020,map00730,map00790,map01100,map02020	M00126	R02135,R04620	RC00017	ko00000,ko00001,ko00002,ko00537,ko01000,ko04147	-	-	-	Alk_phosphatase
MGYG000002473_02254	1123274.KB899414_gene3625	5.79e-275	770.0	COG0511@1|root,COG5016@1|root,COG0511@2|Bacteria,COG5016@2|Bacteria,2J5JF@203691|Spirochaetes	203691|Spirochaetes	C	Oxaloacetate decarboxylase, alpha subunit	oadA	-	4.1.1.3,6.4.1.1	ko:K01571,ko:K01960	ko00020,ko00620,ko00720,ko01100,ko01120,ko01200,ko01230,map00020,map00620,map00720,map01100,map01120,map01200,map01230	M00173,M00620	R00217,R00344	RC00040,RC00367	ko00000,ko00001,ko00002,ko01000,ko02000	3.B.1.1.1	-	-	Biotin_lipoyl,HMGL-like,PYC_OADA
MGYG000002473_00265	1121403.AUCV01000003_gene1666	1.01e-49	169.0	COG0726@1|root,COG0726@2|Bacteria	2|Bacteria	G	polysaccharide deacetylase	wcfH	-	-	-	-	-	-	-	-	-	-	-	DUF3473,Polysacc_deac_1
MGYG000002473_02722	1333507.AUTQ01000131_gene467	1.66e-162	484.0	COG0591@1|root,COG0591@2|Bacteria,1MW6E@1224|Proteobacteria,1RXYK@1236|Gammaproteobacteria,2Q5DK@267888|Pseudoalteromonadaceae	1236|Gammaproteobacteria	E	Sodium:solute symporter family	-	-	-	-	-	-	-	-	-	-	-	-	SSF
MGYG000002473_00423	313606.M23134_05974	1.86e-160	503.0	COG2274@1|root,COG2274@2|Bacteria,4NH0Y@976|Bacteroidetes,47U40@768503|Cytophagia	976|Bacteroidetes	V	ABC transporter transmembrane region	-	-	-	-	-	-	-	-	-	-	-	-	ABC_membrane,ABC_tran
MGYG000002473_01893	243275.TDE_2245	6.23e-265	745.0	COG0187@1|root,COG0187@2|Bacteria,2J6PT@203691|Spirochaetes	203691|Spirochaetes	L	DNA topoisomerase	parE	-	-	ko:K02622	-	-	-	-	ko00000,ko01000,ko02048,ko03032,ko03036	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
MGYG000002473_01102	452637.Oter_2054	3.02e-274	764.0	COG0459@1|root,COG0459@2|Bacteria,46S9U@74201|Verrucomicrobia,3K7T7@414999|Opitutae	414999|Opitutae	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	-	-	-	ko:K04077	ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152	-	-	-	ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	-	-	-	Cpn60_TCP1
MGYG000002473_03274	1358423.N180_19860	1.18e-220	637.0	COG2217@1|root,COG2217@2|Bacteria,4NERS@976|Bacteroidetes,1IPUI@117747|Sphingobacteriia	976|Bacteroidetes	P	Metal ABC transporter ATPase	zntA	-	3.6.3.3,3.6.3.5	ko:K01534	-	-	-	-	ko00000,ko01000	3.A.3.6	-	-	E1-E2_ATPase,Hydrolase
MGYG000002473_02010	1163617.SCD_n02565	1.21e-34	129.0	COG1451@1|root,COG1451@2|Bacteria,1MXZU@1224|Proteobacteria,2VNC5@28216|Betaproteobacteria	28216|Betaproteobacteria	S	Metal-dependent hydrolase	-	-	-	ko:K07043	-	-	-	-	ko00000	-	-	-	DUF45
MGYG000002473_03395	1048983.EL17_19335	4.55e-166	478.0	COG1312@1|root,COG1312@2|Bacteria,4NFA5@976|Bacteroidetes,47JUT@768503|Cytophagia	976|Bacteroidetes	G	Catalyzes the dehydration of D-mannonate	uxuA	-	4.2.1.8	ko:K01686	ko00040,ko01100,map00040,map01100	M00061	R05606	RC00543	ko00000,ko00001,ko00002,ko01000	-	-	-	UxuA
MGYG000002473_03314	349741.Amuc_1178	3.03e-177	500.0	COG0059@1|root,COG0059@2|Bacteria,46SI2@74201|Verrucomicrobia,2ITY3@203494|Verrucomicrobiae	203494|Verrucomicrobiae	E	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate	-	-	1.1.1.86	ko:K00053	ko00290,ko00770,ko01100,ko01110,ko01130,ko01210,ko01230,map00290,map00770,map01100,map01110,map01130,map01210,map01230	M00019,M00570	R03051,R04439,R04440,R05068,R05069,R05071	RC00726,RC00836,RC00837,RC01726	ko00000,ko00001,ko00002,ko01000	-	-	-	IlvC,IlvN
MGYG000002473_00214	1195236.CTER_5329	2.62e-27	114.0	COG4977@1|root,COG4977@2|Bacteria,1UII4@1239|Firmicutes	1239|Firmicutes	K	AraC family transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	AraC_binding,HTH_18,HTH_AraC
MGYG000002473_02197	1173028.ANKO01000194_gene6028	1.96e-112	395.0	COG3250@1|root,COG3250@2|Bacteria,1G4FY@1117|Cyanobacteria,1HA7W@1150|Oscillatoriales	1117|Cyanobacteria	G	Glycosyl hydrolases family 2	-	-	3.2.1.23	ko:K01190	ko00052,ko00511,ko00600,ko01100,map00052,map00511,map00600,map01100	-	R01105,R01678,R03355,R04783,R06114	RC00049,RC00452	ko00000,ko00001,ko01000	-	-	-	Glyco_hydro_2,Glyco_hydro_2_C,Glyco_hydro_2_N
MGYG000002473_03338	794903.OPIT5_24600	1.4e-24	105.0	COG2165@1|root,COG2165@2|Bacteria	2|Bacteria	NU	general secretion pathway protein	-	-	-	ko:K02456	ko03070,ko05111,map03070,map05111	M00331	-	-	ko00000,ko00001,ko00002,ko02044	3.A.15	-	-	CD225,DUF4339,N_methyl,SBP_bac_10,T2SSG
MGYG000002473_02574	59374.Fisuc_2839	2.83e-43	152.0	COG1394@1|root,COG1394@2|Bacteria	2|Bacteria	C	ATPase activity, coupled to transmembrane movement of substances	atpD	-	-	ko:K02118,ko:K02120	ko00190,ko01100,map00190,map01100	M00159	-	-	ko00000,ko00001,ko00002	3.A.2.2,3.A.2.3	-	-	ATP-synt_D,ATP-synt_ab,ATP-synt_ab_N
MGYG000002473_01769	1111728.ATYS01000002_gene2157	2.59e-59	202.0	COG3344@1|root,COG3344@2|Bacteria,1R44F@1224|Proteobacteria,1S05V@1236|Gammaproteobacteria	1236|Gammaproteobacteria	L	reverse transcriptase	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
MGYG000002473_00990	555778.Hneap_1012	7.92e-91	283.0	COG2326@1|root,COG2326@2|Bacteria,1MVE2@1224|Proteobacteria,1RM9U@1236|Gammaproteobacteria,1WYC9@135613|Chromatiales	135613|Chromatiales	S	Polyphosphate kinase 2 (PPK2)	-	-	-	-	-	-	-	-	-	-	-	-	PPK2
MGYG000002473_00142	794903.OPIT5_22150	8.49e-102	345.0	COG3451@1|root,COG3451@2|Bacteria,46WJ2@74201|Verrucomicrobia,3K8P4@414999|Opitutae	74201|Verrucomicrobia	U	AAA-like domain	-	-	-	ko:K20530	ko02024,map02024	-	-	-	ko00000,ko00001,ko02044	3.A.7.4	-	-	TrwB_AAD_bind
MGYG000002473_00528	561231.Pecwa_1380	1.18e-13	76.6	COG0827@1|root,COG0827@2|Bacteria,1MUZW@1224|Proteobacteria,1RSAY@1236|Gammaproteobacteria,1MR1H@122277|Pectobacterium	1236|Gammaproteobacteria	L	Domain of unknown function (DUF4942)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4942
MGYG000002473_00168	561231.Pecwa_1380	1.18e-13	76.6	COG0827@1|root,COG0827@2|Bacteria,1MUZW@1224|Proteobacteria,1RSAY@1236|Gammaproteobacteria,1MR1H@122277|Pectobacterium	1236|Gammaproteobacteria	L	Domain of unknown function (DUF4942)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4942
MGYG000002473_01183	575540.Isop_2441	1.8e-43	147.0	2CEI6@1|root,2ZED5@2|Bacteria,2J3S1@203682|Planctomycetes	203682|Planctomycetes	S	Protein of unknown function (DUF669)	-	-	-	-	-	-	-	-	-	-	-	-	DUF669
MGYG000002473_01122	1499968.TCA2_2710	1.61e-16	85.1	COG4753@1|root,COG4977@1|root,COG4753@2|Bacteria,COG4977@2|Bacteria,1URF2@1239|Firmicutes,4HAF7@91061|Bacilli,26QUP@186822|Paenibacillaceae	91061|Bacilli	T	Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain	tctD	-	-	-	-	-	-	-	-	-	-	-	HTH_18,HTH_AraC,Response_reg
MGYG000002473_02990	497964.CfE428DRAFT_3307	1.43e-113	344.0	COG0412@1|root,COG4409@1|root,COG0412@2|Bacteria,COG4409@2|Bacteria,46UD7@74201|Verrucomicrobia	74201|Verrucomicrobia	GQ	exo-alpha-(2->6)-sialidase activity	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_01542	1463934.JOCF01000007_gene1323	8.17e-27	115.0	COG1609@1|root,COG1609@2|Bacteria,2IAVU@201174|Actinobacteria	201174|Actinobacteria	K	Periplasmic binding protein domain	-	-	-	-	-	-	-	-	-	-	-	-	LacI,Peripla_BP_3
MGYG000002473_01308	1294143.H681_12960	1.74e-24	105.0	COG0845@1|root,COG0845@2|Bacteria,1R99C@1224|Proteobacteria,1RZS0@1236|Gammaproteobacteria	1236|Gammaproteobacteria	M	Belongs to the membrane fusion protein (MFP) (TC 8.A.1) family	-	-	-	-	-	-	-	-	-	-	-	-	Biotin_lipoyl_2,HlyD_3
MGYG000002473_01648	278957.ABEA03000080_gene3185	2.05e-86	304.0	2965R@1|root,2ZTFX@2|Bacteria	2|Bacteria	-	-	-	-	2.3.2.2,3.4.19.13	ko:K00681	ko00430,ko00460,ko00480,ko01100,map00430,map00460,map00480,map01100	-	R00494,R01262,R01687,R03867,R03916,R03970,R03971,R04935	RC00064,RC00090,RC00096	ko00000,ko00001,ko01000,ko01002	-	-	-	Glyco_hydro_71,Laminin_G_3
MGYG000002473_02791	382464.ABSI01000011_gene2458	2.68e-40	147.0	COG0457@1|root,COG0457@2|Bacteria,46UIS@74201|Verrucomicrobia	74201|Verrucomicrobia	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	-
MGYG000002473_01104	457415.HMPREF1006_00765	4.12e-50	165.0	COG0735@1|root,COG0735@2|Bacteria	2|Bacteria	P	belongs to the Fur family	perR	GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009889,GO:0009890,GO:0009892,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0019219,GO:0019222,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2000374,GO:2001141	-	ko:K09825	-	-	-	-	ko00000,ko03000	-	-	-	FUR
MGYG000002473_00389	344747.PM8797T_00654	8.48e-121	368.0	COG2072@1|root,COG2072@2|Bacteria,2IZUB@203682|Planctomycetes	203682|Planctomycetes	P	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_oxidored
MGYG000002473_01018	1158165.KB898875_gene215	6.65e-79	246.0	COG0266@1|root,COG0266@2|Bacteria,1MVM5@1224|Proteobacteria,1RP3J@1236|Gammaproteobacteria,1WX0V@135613|Chromatiales	135613|Chromatiales	L	Involved in base excision repair of DNA damaged by oxidation or by mutagenic agents. Acts as DNA glycosylase that recognizes and removes damaged bases. Has a preference for oxidized purines, such as 7,8-dihydro-8-oxoguanine (8-oxoG). Has AP (apurinic apyrimidinic) lyase activity and introduces nicks in the DNA strand. Cleaves the DNA backbone by beta-delta elimination to generate a single-strand break at the site of the removed base with both 3'- and 5'-phosphates	fpg	-	3.2.2.23,4.2.99.18	ko:K10563	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Fapy_DNA_glyco,H2TH,zf-FPG_IleRS
