	Healthy	T2D
UMGS1883 sp900763305	-0.0014709031153790813	-0.0018278205485126999
Enterocloster sp900541315	-0.0013580162044186375	-0.0013963206886183266
Blautia hansenii	-0.00127073519381095	-0.00133985685864898
UMGS1338 sp900550805	-0.0011921507074918436	-0.0012881504507714935
UMGS1449 sp900551925	-0.0010084048069136438	-0.0011661071925500267
Bacillus_BD tuaregi	-0.000967483484724875	-0.0010693153548555466
CAG-170 sp000432135	-0.0009127634609059456	-0.0009311676053852474
Alistipes sp900766655	-0.0008583440604190312	-0.0008690405876536866
Anaerobutyricum hallii	-0.000837438056525675	-0.0008566063943573067
CAG-475 sp900550915	-0.0008230667424445063	-0.0009244632222056867
UMGS1851 sp900555605	-0.0007622028118491188	-0.0005017781183487812
UMGS1754 sp900759475	-0.0007014399881215437	-0.0008145992728923533
Bacteroides sp014385165	-0.00065803578921385	-0.0010104206689888133
UMGS1397 sp900551425	-0.0005346011332300687	-0.0004528237192831654
CAG-312 sp900545705	-0.0004997844988853312	-0.001230238766487
UMGS1370 sp900551135	-0.0004534705589397812	-0.0003673068666074482
UMGS1623 sp900553525	-0.00037464027472633123	-0.00037465861281114
CAG-81 sp900066055	-0.000355028158130525	-0.00048081701763719994
CAG-1427 sp900538545	-0.00033485379708261245	-0.000568207237387
Acutalibacter sp000435395	-0.00031697926082678725	-0.0003378348742202733
CAG-269 sp001916065	-0.00029290836014162804	-0.00017145258963529683
UMGS1663 sp900553865	-0.0002920567112371508	-0.00033904754577297996
CAG-1193 sp000436255	-0.0002820079217130874	-0.0014330917628782467
Acutalibacter sp000432995	-0.0002485049616116097	-3.5148062224928975e-05
CAG-492 sp000434015	-0.00024715985302794374	-0.0004476052668349
Acidaminococcus fermentans	-0.00023753892909359302	-0.00023809013634877715
CAG-145 sp900542295	-0.00022296173171929375	-0.0002464704266926267
Veillonella_A sp900545795	-0.000196502648505925	-0.00021263220152890934
Faecalibacillus faecis	-0.00019633708494616877	-0.00022803067880402002
UMGS1477 sp900553845	-0.00019329708135067993	-0.00016120211732502764
Vagococcus sp003462485	-0.00018376217793065742	-0.00019113329444556384
Blautia sp002161285	-0.00017021980353906877	-0.00033946414121465335
Bacillus paralicheniformis	-0.00016119830932333126	-0.0001612065467993467
Anaerococcus rubeinfantis	-0.00015556615965823503	-7.634299357671519e-05
Anaerococcus vaginalis_B	-0.00014635722337785	-0.00013789078524451334
Butyricimonas sp900184685	-0.00013785974202003366	-0.00010897087723118
UMGS1781 sp900554635	-0.00012438176014143302	-8.696936770254059e-05
Anaerobutyricum soehngenii	-0.00010141592177729951	-7.329661650724739e-05
Sporanaerobacter acetigenes	-9.635365640484575e-05	-0.00012843810786516423
Alistipes sp900770635	-8.339930152942631e-05	-7.80550816211378e-05
UMGS1322 sp900550765	-8.297394351589625e-05	-2.9002958746775524e-05
Anaerotruncus massiliensis	-7.604120236874248e-05	7.824606131989397e-05
Blautia_A luti	-7.467782208956154e-05	-9.538422583632834e-05
Barnesiella sp900538705	-6.018434959148475e-05	4.303252470766617e-05
Massilicoli timonensis	-5.9200699590559165e-05	-7.071905295107122e-05
Blautia_A obeum_B	-5.710830344727424e-05	-6.31982651284893e-05
Veillonella sp900549805	-5.585002858042527e-05	-6.351518071076958e-05
CAG-485 sp900759795	-5.031973978237016e-05	-6.114138651977847e-05
CAG-617 sp000431275	-4.969016841085973e-05	-5.054767358779553e-05
UMGS902 sp900546635	-4.521736708023887e-05	-5.192255842878201e-05
CAG-115 sp900766795	-3.656660277463995e-05	-3.283258431684788e-05
Anaerococcus sp900541365	-2.608202525787266e-05	-2.6096909163250647e-05
Yersinia enterocolitica	-1.734636499138466e-05	2.3399405385846104e-06
CAG-510 sp900551115	-1.40589786697502e-05	-0.00016794684883902558
Acidaminococcus fermentans_A	-1.260968782417371e-05	-1.6031348309985468e-05
UMGS1518 sp900552575	-9.301521784777225e-06	9.535086422622174e-06
Bacilliculturomica massiliensis	-9.215718466126788e-19	-7.517135062566164e-19
CAG-488 sp900554995	1.4662029952200425e-05	1.6175307957993857e-05
Aeromonas veronii	1.7186236292595904e-05	5.626352209748212e-06
Anaerotruncus colihominis	1.734046232022965e-05	1.8355042833648036e-05
CAG-110 sp900752285	1.8659885557360134e-05	9.179455136832335e-05
CAG-127 sp900767585	1.9216502904320293e-05	0.00013261730328867957
UMGS2016 sp900557185	2.0204348261571367e-05	1.067876898569556e-05
UMGS911 sp900545935	2.310536840042764e-05	4.87081337103148e-05
UMGS1707 sp900554285	2.462444881756997e-05	2.134868185903266e-05
Acutalibacter timonensis	2.800573927285017e-05	7.12799310916472e-05
Blautia hominis	3.2562919401235955e-05	3.727338397797141e-06
UMGS1668 sp900768105	3.36273871343625e-05	-1.2695578661644487e-05
UMGS973 sp900547295	3.6389329505807534e-05	8.153637718560705e-05
UMGS1474 sp900552115	3.808007342512861e-05	3.800741506097092e-05
Alloscardovia omnicolens	4.448860554416856e-05	3.192387924857102e-05
Varibaculum cambriense_A	4.5439743684968963e-05	5.39422144178327e-05
UMGS1293 sp900754495	4.6620346174321e-05	4.753756678455583e-05
Bifidobacterium breve	4.782803434012841e-05	-9.229904219407295e-05
CAG-313 sp900760745	4.893186379976229e-05	4.552576164152931e-05
CAAGGB01 sp900769285	5.034008878152866e-05	6.840700546917589e-05
UMGS1600 sp900553295	5.188039187928748e-05	-0.0003570513446256
Vagococcus teuberi	5.6720443804664336e-05	4.910762232258337e-05
Bacteroides sp900547205	6.359199490780521e-05	4.8369872515710734e-05
UMGS1491 sp900554775	6.660809756026288e-05	6.482983056766094e-05
Acinetobacter ursingii	7.389913201817942e-05	8.836179777043247e-05
CAG-145 sp900545135	7.728100877154395e-05	2.1332068753504573e-05
CAG-145 sp900540145	8.90309983080213e-05	2.1188975348215626e-05
CAG-177 sp003538135	9.121747967035624e-05	6.402570324315332e-05
UMGS1858 sp900555705	0.00013814123243936877	-0.0003015504594678413
CAG-495 sp900551585	0.00014564314453503153	8.401108103930266e-05
Veillonella sp009929605	0.00015344053933688193	0.0002456492627899106
Bifidobacterium adolescentis	0.00015988152424710112	0.00021324867801782732
UMGS1225 sp900549725	0.00017203107348710307	0.0001489306017860844
Blautia_A sp900547615	0.00017387445115167496	-0.005607280915339374
UMGS1375 sp900551235	0.00018488535459756675	9.602763060889387e-05
CAG-449 sp000432895	0.00018850329666158705	0.00012426324918972647
UMGS1590 sp900759105	0.0002008723839578	0.00018051004697822507
UMGS1241 sp900550525	0.00020857629430501875	0.0002788559940506733
Bifidobacterium scardovii	0.0002170879415538375	-8.491649382018667e-05
Bacteroides graminisolvens	0.00024187030472230627	0.00024096308642648667
UMGS911 sp003343545	0.00024748891448936875	-0.00016060704631949333
CAG-302 sp000431795	0.00025791493530725925	0.0005281569764001122
Achromobacter xylosoxidans	0.0002582563735016375	0.00025205511978202664
CAG-1427 sp000431675	0.00026453484767296874	-0.0007979805134489266
CAG-484 sp900321895	0.00028530666159422497	0.0004986251407627879
Zag1 sp900551675	0.00030757468168473125	0.0003072576239599133
CAG-279 sp900541935	0.0003270147001989625	0.00025236516797661336
Veillonella sp900549845	0.00037008034329080627	0.00041881535245153997
Veillonella parvula_A	0.0004033442530969625	0.0024077168933266135
Yersinia kristensenii	0.00043863142906828127	0.0004079433354332856
CAG-238 sp900754805	0.0005912233756739341	0.0004516519576192342
CAG-269 sp900554565	0.000714107327121125	0.00194522326959676
CAG-269 sp900555615	0.0007233854675743125	0.0004260117592673
Acetatifactor sp900554205	0.0008224439226592187	0.0006696579905149867
Bacteroides sp007896885	0.0008253068421865923	0.0013911357887709229
Zag1 sp000438175	0.0008629992362279813	0.00017028518393197994
CAG-273 sp000435755	0.0009327157564154938	0.000636673548386615
UMGS1633 sp900553645	0.0009682613182835001	0.0011138923782310001
Anaerotruncus rubiinfantis	0.0009870813615217688	0.0010085166063195066
CAG-488 sp000434055	0.0012002521779894315	-0.00455481784810886
CAG-475 sp900551145	0.0012162530340165375	0.0012136745347274334
CAG-180 sp900545625	0.001418210928300919	-0.0012566961544455799
Bacteroides sp002491635	0.0014272838713245124	0.0008573223409879868
CAG-485 sp900760885	0.0014588155422853688	0.002270066518923514
Alterileibacterium massiliense	0.0016023411713092749	0.004481545300059407
Anaeromassilibacillus sp002159845	0.0017499316059264875	0.0016407447179391133
Brachyspira pilosicoli	0.0019553765367487314	0.0035881922157362934
Borkfalkia ceftriaxoniphila	0.001998403970611244	0.0017643256273174267
Zag111 sp900551965	0.0020310608314336688	0.0023759005561009463
UMGS1975 sp900751745	0.0024224920257656128	6.848053254905352e-05
Yersinia frederiksenii	0.002573337522000275	0.007112647331479066
CABMKH01 sp902386935	0.0026953619858590375	0.0028487096997610803
UMGS1585 sp900766355	0.0030677324751375874	0.003096475886093553
UBA7748 sp900314535	0.003176744338829744	0.0005579824155274599
Bacteroides clarus	0.0031837917139146054	0.010703027062722439
Actinomyces oris	0.0032123917340301624	0.00047490683752388
CAG-462 sp900291465	0.003248740843771125	0.003274367505722333
Amulumruptor sp900539915	0.0033060109289617	0.0033060109289617
Bifidobacterium vaginale	0.004233925417316838	0.0068981895387293535
Azonexus sp900549295	0.004302550105089663	0.0010992812290042198
Agathobacter sp900546625	0.004330574839778156	0.004814776875032547
Anaerobiospirillum succiniciproducens	0.004880769557664494	0.0046017083889057205
Blautia_A sp900548245	0.004976069715319756	0.004893372326321593
UMGS1754 sp900554815	0.005013889163671244	0.005013870516403168
Bacillus_J andreraoultii	0.005688611215384857	0.030469304673194107
UMGS995 sp900769695	0.005845669211986506	-0.003019124303325827
UMGS1613 sp900553395	0.0061162972048302375	0.00611628633952556
CAG-460 sp000437355	0.006167722913428262	0.009258012441119326
Akkermansia muciniphila	0.006322721507712138	0.00145832540717246
CAG-245 sp900761475	0.006776798918174419	0.002731599139563827
Acetatifactor sp900771995	0.00690763312760995	0.005126574918212153
AF33-28 sp003477885	0.006918359359425275	0.006469542042315214
Acinetobacter variabilis	0.006925598644019832	0.01794894182471692
UMGS1441 sp900543365	0.006980931170782474	0.009075342372565713
Acinetobacter pittii	0.007267906200410975	0.008078060787972373
UMGS1976 sp900556765	0.007377930117189733	0.012540822848854435
CAG-269 sp000438255	0.008134785021571144	-0.0009854290543759266
Bacteroides finegoldii	0.0083504697728398	0.01004570972820528
Angelakisella sp003453215	0.008409930983877269	0.0085451236467461
BX12 sp902363595	0.008879823217999239	0.007179707652027534
Alistipes sp002358415	0.008984450580087837	0.016552618087657046
CAG-245 sp900552135	0.009551329837290987	0.0174100189439228
CAG-269 sp900556695	0.00971207668482825	0.0042103159669058
Xanthomonas_B massiliensis	0.0097187971145326	0.009804789351252301
Bilophila sp902373525	0.010091327885607874	0.013006653582744299
CAG-488 sp900539465	0.010231217635371374	0.014834633099327739
Bilophila sp900553145	0.010313994079216487	0.004410378405416253
CAG-194 sp000432915	0.010394029194062713	0.009772307036449419
CAG-460 sp900546715	0.011179302678720532	0.011820038837649
CAG-465 sp000433335	0.011333674497129494	0.012180876167001845
UMGS1781 sp900553365	0.01135424610320385	0.010606764980440667
CAG-177 sp000431775	0.011847481389932276	0.0014966095820787072
CAG-110 sp900763965	0.012102262350661787	0.009469099808833632
Barnesiella intestinihominis	0.012272916161953331	0.013554379028797466
UMGS1572 sp900553045	0.012791626313662825	0.010309871413147546
UMGS1670 sp900553995	0.01281145860682013	0.0062580420796811195
CAG-170 sp900545925	0.01351506101048875	0.001969361665201746
CAG-269 sp900753165	0.013723890375144663	0.021256025971338965
Agathobacter sp900549895	0.013979416438031269	0.021622801054510928
Blautia coccoides	0.015731669633429937	0.025564899864295214
CAG-533 sp004563275	0.015760139853948564	0.017927551731627887
Blautia_A sp900551715	0.015789349723640714	0.012717728091598832
Blautia sp900547685	0.01628840557655433	0.019110499720583672
Bacteroides eggerthii	0.0163193719529716	0.017679824722240247
Veillonella_A magna	0.01813154637092743	0.010021253380902253
CAG-127 sp900539705	0.019698239950825275	0.01605758523980218
Prevotellamassilia sp900541575	0.01993967807469305	-0.016502340195406685
UMGS403 sp900541975	0.02017381549113102	0.0186040559056087
Bacteroides sp900553815	0.022023668036497763	0.03608521207105226
CAG-269 sp900554175	0.022027414570170618	0.03281434109120832
Oxalobacter formigenes	0.0231390538797585	0.015123975640107786
UMGS1781 sp900555075	0.02764783232076077	0.03588146059393376
Blautia_A sp900549015	0.029335062652092167	0.031499637238458666
UMGS882 sp900546385	0.03446104641423937	0.03379487112641685
CAG-170 sp900548625	0.03675098735124843	0.036537608105094
Barnesiella sp900542255	0.03900559897288044	0.052302484254067076
Bacteroides togonis	0.04583870724415541	0.03287940086070905
UMGS1696 sp900763885	0.050160905075579326	0.031164706686293047
CAG-485 sp900321585	0.052520027805447796	0.06738582720437426
Bacteroides neonati	0.05340629881009827	0.05224035312558539
CAG-533 sp000434495	0.054202169871502774	0.05775854147564384
Blautia stercoris	0.05473005923111664	0.041484059723997053
Bacteroides nordii	0.05770380845241487	0.062262957197088235
Bacteroides fragilis	0.061232066267137765	0.059917918477399454
Agathobacter sp900547695	0.06333252331045199	0.027963672633192542
CAG-485 sp001701295	0.06943212050279979	0.051400221152872655
Bifidobacterium pullorum	0.0731417253782329	0.04317906694812062
Acinetobacter sp900771065	0.0833846777393636	0.08708402816906574
Anaerococcus senegalensis	0.0941698932352179	0.09378740041808029
Bacteroides salyersiae	0.13611680384359048	0.13544921149554515
sum	0.38200679006497723	0.3726217957948703
